Hero_Name,Appearance_Count,Win_Count
公孙离,173,92
阿古朵,171,88
夏侯惇,169,87
沈梦溪,165,84
孙尚香,159,83
苍,154,76
夏洛特,151,74
朵莉亚,151,72
戈娅,149,74
太乙真人,146,86
元流之子（坦克）,145,71
狂铁,143,79
少司缘,132,61
大司命,127,63
大乔,126,58
梦奇,124,54
不知火舞,122,63
敖隐,115,51
曹操,112,62
关羽,112,58
司空震,112,57
鲁班大师,107,54
马超,106,54
甄姬,105,54
狄仁杰,105,50
杨玉环,103,54
张良,101,56
女娲,100,48
姬小满,100,48
孙策,98,43
王昭君,96,48
鲁班七号,92,49
裴擒虎,82,52
嬴政,82,44
明世隐,77,38
镜,74,44
百里守约,74,37
亚连,70,41
墨子,69,28
海月,64,36
安琪拉,64,27
铠,60,30
弈星,57,25
桑启,52,22
影,52,22
干将莫邪,49,24
达摩,47,19
廉颇,46,24
典韦,45,16
西施,41,22
后羿,41,21
嫦娥,41,20
张飞,36,22
蒙恬,36,19
海诺,35,20
哪吒,33,16
虞姬,32,12
蔡文姬,28,15
姜子牙,26,11
空空儿,23,12
马可波罗,23,7
白起,17,8
伽罗,16,13
澜,16,11
金蝉,14,5
猪八戒,13,5
孙膑,12,5
暃,12,5
元歌,11,3
苏烈,10,2
庄周,9,4
宫本武藏,8,2
老夫子,7,3
李元芳,6,3
露娜,6,3
橘右京,6,2
盘古,6,1
扁鹊,5,2
兰陵王,4,2
吕布,4,3
刘邦,4,2
曜,4,1
黄忠,3,1
武则天,3,1
小乔,3,1
莱西奥,2,1
娜可露露,2,1
牛魔,2,0
赵怀真,2,0
花木兰,1,1
上官婉儿,1,1
东皇太一,1,1
钟馗,1,1
貂蝉,1,0
诸葛亮,1,0
鬼谷子,1,0
妲己,1,0
