Hero_Name,Occupation,Win_Rate,Pick_Rate,Ban_Rate,Tier,Z_Score,S_Index,Final_Conclusion
云缨,战士/刺客,0.531,0.161,0.296,T0,7.209302325581402,0.10281143236876714,超标 (Overpowered)
嫦娥,法师/战士,0.549,0.066,0.026,T2,11.395348837209312,0.10067926411732207,超标 (Overpowered)
元流之子(辅助),辅助/法师,0.53,0.059,0.312,T2,6.976744186046518,0.07354564234809646,超标 (Overpowered)
诸葛亮,法师,0.524,0.16,0.048,T1,5.581395348837214,0.07039712025734925,超标 (Overpowered)
敖隐,射手,0.52,0.183,0.185,T0,4.651162790697678,0.06845210191821685,超标 (Overpowered)
盾山,辅助/坦克,0.521,0.039,0.689,T2,4.883720930232562,0.06782393930744823,超标 (Overpowered)
刘备,战士,0.538,0.042,0.004,T3,8.83720930232559,0.06284902777232056,超标 (Overpowered)
雅典娜,战士/刺客,0.548,0.026,0.0,T4,11.162790697674428,0.06148482458217914,平衡 (Balanced)
墨子,法师/战士,0.519,0.12,0.238,T1,4.418604651162795,0.06063403779176924,平衡 (Balanced)
少司缘,辅助/法师,0.51,0.136,0.617,T0,2.325581395348839,0.057660215287142935,平衡 (Balanced)
貂蝉,法师,0.523,0.099,0.029,T2,5.348837209302331,0.056391544152407304,平衡 (Balanced)
张良,法师,0.519,0.061,0.374,T2,4.418604651162795,0.05594180089689816,平衡 (Balanced)
马超,战士,0.521,0.122,0.022,T2,4.883720930232562,0.05528455342143887,平衡 (Balanced)
元歌,刺客,0.524,0.081,0.016,T2,5.581395348837214,0.05379858592454735,平衡 (Balanced)
蚩尤,战士,0.514,0.128,0.306,T1,3.2558139534883748,0.05204536029028426,平衡 (Balanced)
上官婉儿,法师,0.529,0.042,0.007,T3,6.744186046511634,0.04816110014203411,平衡 (Balanced)
武则天,法师,0.526,0.052,0.002,T3,6.046511627906982,0.04753828159332724,平衡 (Balanced)
苏烈,辅助/坦克,0.519,0.082,0.073,T2,4.418604651162795,0.04581486619704493,平衡 (Balanced)
女娲,法师,0.513,0.132,0.152,T1,3.023255813953491,0.04209214553989383,平衡 (Balanced)
桑启,辅助/法师,0.515,0.122,0.019,T2,3.488372093023259,0.03965325244388491,平衡 (Balanced)
元流之子(射手),射手,0.513,0.177,0.029,T1,3.023255813953491,0.03952080581018706,平衡 (Balanced)
元流之子(法师),法师,0.523,0.043,0.007,T3,5.348837209302331,0.038707256872835785,平衡 (Balanced)
哪吒,战士/坦克,0.515,0.08,0.079,T2,3.488372093023259,0.03690836866004332,平衡 (Balanced)
白起,坦克,0.517,0.072,0.005,T2,3.9534883720930267,0.03602028062259356,平衡 (Balanced)
关羽,战士/坦克,0.517,0.065,0.025,T3,3.9534883720930267,0.03550335134921853,平衡 (Balanced)
百里玄策,刺客,0.518,0.058,0.003,T3,4.186046511627911,0.034654607019277126,平衡 (Balanced)
阿古朵,射手,0.518,0.049,0.009,T3,4.186046511627911,0.032399142316410154,平衡 (Balanced)
