Hero_Name,Appearance_Count,Win_Count
沈梦溪,69,33
曹操,65,28
公孙离,59,31
狂铁,57,28
戈娅,56,29
大司命,53,27
苏烈,53,26
蚩奼,52,20
夏洛特,49,90
女娲,49,27
盾山,41,22
空空儿,41,17
杨戬,38,22
元流之子（坦克）,38,22
苍,38,18
司空震,36,18
张飞,36,16
敖隐,35,18
小乔,35,15
不知火舞,34,22
少司缘,33,15
鲁班大师,32,19
艾琳,31,20
太乙真人,31,17
镜,30,16
朵莉亚,30,15
裴擒虎,30,14
马超,28,16
关羽,27,16
橘右京,27,14
影,26,14
狄仁杰,26,12
夏侯惇,26,11
嬴政,24,8
孙尚香,23,10
阿古朵,21,10
安琪拉,20,10
海月,20,9
杨玉环,19,10
铠,18,8
蒙恬,17,9
嫦娥,15,7
暃,14,8
西施,14,5
海诺,13,9
甄姬,13,8
虞姬,13,6
哪吒,13,4
廉颇,10,5
王昭君,9,6
姬小满,9,4
达摩,9,3
宫本武藏,9,2
张良,8,5
猪八戒,8,4
孙权,8,4
鲁班七号,8,3
武则天,7,5
吕布,7,2
娜可露露,6,5
牛魔,6,2
后羿,5,3
墨子,5,3
庄周,5,1
曜,4,4
百里守约,4,2
梦奇,4,2
东皇太一,4,2
老夫子,4,1
干将莫邪,3,1
伽罗,3,1
孙策,3,1
钟馗,2,2
桑启,2,1
刘邦,2,1
元流之子（辅助）,2,1
诸葛亮,2,0
姜子牙,2,0
金蝉,1,1
孙膑,1,1
兰陵王,1,1
露娜,1,1
大乔,1,1
弈星,1,0
貂蝉,1,0
韩信,1,0
云缨,1,0
亚连,1,0
高渐离,1,0
蔡文姬,1,0
