Hero_Name,Appearance_Count,Win_Count
沈梦溪,78,39
曹操,77,43
夏洛特,74,31
戈娅,72,38
公孙离,72,30
苍,71,33
苏烈,70,36
狂铁,67,36
女娲,64,43
大司命,62,33
杨戬,62,32
元流之子（坦克）,41,17
裴擒虎,53,32
铠,52,21
孙尚香,51,35
鲁班大师,51,23
少司缘,50,21
空空儿,49,33
盾山,47,26
蚩奼,46,24
太乙真人,45,22
不知火舞,45,21
小乔,44,18
镜,42,18
关羽,41,21
敖隐,39,23
朵莉亚,39,18
司空震,38,20
蒙恬,37,22
夏侯惇,37,21
鲁班七号,37,16
海月,36,19
阿古朵,35,13
狄仁杰,33,13
甄姬,32,18
艾琳,32,17
马超,32,12
张飞,31,19
影,29,11
杨玉环,27,14
安琪拉,25,9
海诺,24,11
西施,24,11
王昭君,22,13
嬴政,22,10
姬小满,20,12
橘右京,19,10
娜可露露,19,7
嫦娥,18,6
张良,18,5
廉颇,15,7
孙权,14,6
干将莫邪,14,3
百里守约,13,5
梦奇,12,4
猪八戒,10,6
老夫子,9,7
暃,8,6
大乔,8,4
达摩,8,3
墨子,8,2
虞姬,7,4
吕布,6,5
后羿,6,3
姜子牙,6,3
庄周,5,4
牛魔,5,2
武则天,4,4
宫本武藏,4,2
孙膑,4,1
元流之子（辅助）,4,0
桑启,3,2
蔡文姬,3,2
鬼谷子,3,2
伽罗,3,1
孙策,3,1
哪吒,3,1
弈星,3,1
曜,2,1
东皇太一,2,1
貂蝉,1,1
金蝉,1,0
刘邦,1,0
钟馗,1,0
