Hero_Name,Appearance_Count,Win_Count
公孙离,185,85
铠,179,97
狂铁,175,91
沈梦溪,171,85
夏洛特,167,88
太乙真人,164,78
少司缘,154,83
空空儿,151,85
大司命,148,77
苍,138,76
阿古朵,125,61
裴擒虎,121,56
孙尚香,117,52
戈娅,116,59
曹操,116,58
不知火舞,115,60
杨戬,115,57
苏烈,114,52
鲁班大师,111,53
关羽,109,55
司空震,100,47
镜,98,56
甄姬,97,48
女娲,95,46
荆轲,93,44
虞姬,91,43
狄仁杰,90,50
朵莉亚,87,37
鲁班七号,85,45
张飞,83,33
元流之子（射手）,80,45
杨玉环,80,42
海月,78,44
元流之子（坦克）,77,42
马超,74,38
梦奇,74,28
艾琳,71,38
张良,70,41
吕布,70,36
暃,66,29
达摩,65,34
夏侯惇,65,27
小乔,62,33
王昭君,58,31
海诺,58,29
姬小满,54,21
西施,44,20
百里守约,43,20
蒙恬,42,19
嫦娥,40,16
后羿,39,17
墨子,37,21
大乔,36,19
安琪拉,36,18
姜子牙,35,20
干将莫邪,34,14
孙策,32,15
橘右京,31,18
弈星,24,8
哪吒,23,10
廉颇,23,10
娜可露露,20,15
老夫子,17,9
庄周,16,9
吕布,15,6
孙权,14,8
伽罗,13,7
宫本武藏,13,7
猪八戒,12,8
白起,12,5
芈月,11,6
蔡文姬,10,8
桑启,10,5
金蝉,10,4
牛魔,9,6
虞姬,9,3
元歌,9,3
马可波罗,8,3
露娜,8,3
曜,7,4
孙膑,7,4
澜,7,3
东皇太一,6,5
武则天,6,3
明世隐,6,3
兰陵王,5,4
亚连,5,3
鬼谷子,3,3
盾山,3,1
赵怀真,3,1
妲己,2,1
高渐离,2,1
刘邦,2,0
黄忠,2,0
云缨,1,1
钟馗,1,1
李元芳,1,0
蒙犽,1,0
盘古,1,0
貂蝉,1,0
刘禅,1,0
典韦,1,0
