Hero_Name,Occupation,Win_Rate,Pick_Rate,Ban_Rate,Tier,Z_Score,S_Index,Final_Conclusion
雅典娜,战士/刺客,0.535,0.029,0.001,T3,8.139534883720938,0.04768417935974607,超标 (Overpowered)
墨子,法师/战士,0.514,0.088,0.047,T2,3.2558139534883748,0.03430335339947139,超标 (Overpowered)
典韦,战士,0.512,0.123,0.046,T1,2.790697674418607,0.033353168422732525,超标 (Overpowered)
蔡文姬,辅助/法师,0.51,0.133,0.135,T1,2.325581395348839,0.03335259537265864,超标 (Overpowered)
武则天,法师,0.522,0.034,0.002,T3,5.1162790697674465,0.03269529990033278,超标 (Overpowered)
李元芳,射手,0.511,0.147,0.019,T1,2.5581395348837233,0.03124026783589691,超标 (Overpowered)
哪吒,战士/坦克,0.518,0.032,0.001,T3,4.186046511627911,0.025881521455207834,平衡 (Balanced)
嬴政,法师,0.515,0.04,0.016,T3,3.488372093023259,0.024941568686511525,平衡 (Balanced)
孙悟空,刺客,0.505,0.233,0.138,T0,1.1627906976744196,0.02285238175173253,平衡 (Balanced)
刘备,战士,0.516,0.031,0.002,T3,3.720930232558143,0.022675791579364214,平衡 (Balanced)
阿古朵,射手,0.517,0.027,0.002,T3,3.9534883720930267,0.02234165793405306,平衡 (Balanced)
黄忠,射手,0.508,0.086,0.052,T2,1.8604651162790715,0.020694104787790338,平衡 (Balanced)
白起,坦克,0.511,0.054,0.005,T2,2.5581395348837233,0.02066927789402191,平衡 (Balanced)
刘邦,坦克/法师,0.511,0.048,0.005,T3,2.5581395348837233,0.01958643709307613,平衡 (Balanced)
司马懿,刺客/法师,0.513,0.034,0.005,T3,3.023255813953491,0.01951085903201482,平衡 (Balanced)
成吉思汗,射手,0.516,0.023,0.001,T4,3.720930232558143,0.01915275949555897,平衡 (Balanced)
太乙真人,辅助/坦克,0.514,0.026,0.003,T3,3.2558139534883748,0.018083073836468917,平衡 (Balanced)
东皇太一,辅助/法师,0.504,0.046,0.183,T3,0.9302325581395358,0.01604106639096442,平衡 (Balanced)
大乔,辅助/法师,0.504,0.076,0.122,T2,0.9302325581395358,0.014707048813037856,平衡 (Balanced)
嫦娥,法师/战士,0.512,0.02,0.001,T4,2.790697674418607,0.01323334746401733,平衡 (Balanced)
狄仁杰,射手,0.505,0.115,0.004,T2,1.1627906976744196,0.01282864322154129,平衡 (Balanced)
百里玄策,刺客,0.509,0.027,0.001,T3,2.0930232558139554,0.01182499537685162,平衡 (Balanced)
云中君,刺客,0.511,0.019,0.001,T4,2.5581395348837233,0.01176181810691672,平衡 (Balanced)
上官婉儿,法师,0.509,0.024,0.002,T4,2.0930232558139554,0.01111397888459905,平衡 (Balanced)
曹操,战士,0.507,0.036,0.001,T3,1.6279069767441874,0.010732394124465354,平衡 (Balanced)
牛魔,辅助/坦克,0.506,0.045,0.003,T3,1.3953488372093035,0.010378488553430562,平衡 (Balanced)
苏烈,辅助/坦克,0.507,0.033,0.002,T3,1.6279069767441874,0.010310305158896627,平衡 (Balanced)
诸葛亮,法师,0.504,0.096,0.016,T2,0.9302325581395358,0.010243416004472095,平衡 (Balanced)
元歌,刺客,0.505,0.046,0.005,T3,1.1627906976744196,0.008863832988705526,平衡 (Balanced)
伽罗,射手,0.501,0.115,0.124,T2,0.23255813953488394,0.008725728644308258,平衡 (Balanced)
大禹,辅助/坦克,0.514,0.008,0.002,T4,3.2558139534883748,0.008329013308629674,平衡 (Balanced)
戈娅,射手,0.509,0.014,0.0,T4,2.0930232558139554,0.007879218636185108,平衡 (Balanced)
高渐离,法师,0.506,0.023,0.001,T4,1.3953488372093035,0.007213534810834614,平衡 (Balanced)
姬小满,战士,0.507,0.016,0.001,T4,1.6279069767441874,0.00673858011519206,平衡 (Balanced)
鬼谷子,辅助/法师,0.505,0.025,0.004,T4,1.1627906976744196,0.006463814842476845,平衡 (Balanced)
庄周,辅助/坦克,0.501,0.089,0.083,T2,0.23255813953488394,0.006442534757140546,平衡 (Balanced)
赵怀真,战士,0.508,0.012,0.0,T4,1.8604651162790715,0.006307658882914168,平衡 (Balanced)
杨戬,战士,0.504,0.037,0.002,T3,0.9302325581395358,0.006290250034864057,平衡 (Balanced)
暃,刺客,0.506,0.017,0.001,T4,1.3953488372093035,0.006009510638061706,平衡 (Balanced)
露娜,刺客/法师,0.504,0.029,0.003,T3,0.9302325581395358,0.005593906212542408,平衡 (Balanced)
周瑜,法师/战士,0.505,0.02,0.001,T4,1.1627906976744196,0.005543061443340554,平衡 (Balanced)
盘古,战士,0.503,0.045,0.008,T3,0.6976744186046517,0.005514244276715281,平衡 (Balanced)
赵云,战士/刺客,0.502,0.103,0.008,T2,0.4651162790697679,0.005249605451436594,平衡 (Balanced)
司空震,战士/法师,0.505,0.018,0.001,T4,1.1627906976744196,0.005198097085905795,平衡 (Balanced)
空空儿,辅助/战士,0.509,0.006,0.003,T4,2.0930232558139554,0.004380032663211624,平衡 (Balanced)
橘右京,刺客/战士,0.503,0.032,0.001,T3,0.6976744186046517,0.004355253575867972,平衡 (Balanced)
影,战士,0.51,0.005,0.001,T4,2.325581395348839,0.004104651081081647,平衡 (Balanced)
蒙犽,射手,0.503,0.021,0.001,T4,0.6976744186046517,0.003444206334473305,平衡 (Balanced)
少司缘,辅助/法师,0.504,0.009,0.009,T4,0.9302325581395358,0.003017415544689581,平衡 (Balanced)
娜可露露,刺客,0.502,0.028,0.001,T3,0.4651162790697679,0.002720002133464683,平衡 (Balanced)
蒙恬,坦克,0.502,0.025,0.001,T4,0.4651162790697679,0.0025555259369907384,平衡 (Balanced)
老夫子,战士,0.501,0.076,0.007,T2,0.23255813953488394,0.0025017622032594638,平衡 (Balanced)
莱西奥,射手,0.503,0.013,0.0,T4,0.6976744186046517,0.002498727368805314,平衡 (Balanced)
杨玉环,法师,0.502,0.02,0.001,T4,0.4651162790697679,0.0022472245773362217,平衡 (Balanced)
海月,法师,0.502,0.014,0.006,T4,0.4651162790697679,0.002050937474707802,平衡 (Balanced)
达摩,战士/坦克,0.501,0.035,0.001,T3,0.23255813953488394,0.0015540773967762753,平衡 (Balanced)
猪八戒,坦克,0.501,0.026,0.001,T3,0.23255813953488394,0.0013309338454620652,平衡 (Balanced)
阿轲,刺客,0.501,0.025,0.001,T4,0.23255813953488394,0.001302762968495369,平衡 (Balanced)
金蝉,法师,0.501,0.017,0.005,T4,0.23255813953488394,0.0012432517730102844,平衡 (Balanced)
亚连,战士/坦克,0.501,0.015,0.001,T4,0.23255813953488394,0.000966290731874156,平衡 (Balanced)
花木兰,战士,0.5,0.034,0.001,T3,0.0,5e-05,平衡 (Balanced)
沈梦溪,法师,0.499,0.021,0.002,T4,-0.23255813953488394,-0.0010314021114911016,平衡 (Balanced)
云缨,战士/刺客,0.499,0.028,0.003,T3,-0.23255813953488394,-0.0011850010667323414,平衡 (Balanced)
鲁班大师,辅助/坦克,0.498,0.025,0.006,T4,-0.4651162790697679,-0.0022055259369907383,平衡 (Balanced)
西施,法师,0.498,0.022,0.001,T4,-0.4651162790697679,-0.0022763016196113636,平衡 (Balanced)
海诺,法师/战士,0.496,0.011,0.001,T4,-0.9302325581395358,-0.002917749378917511,平衡 (Balanced)
狂铁,战士/坦克,0.498,0.057,0.003,T2,-0.4651162790697679,-0.0036542150527938445,平衡 (Balanced)
宫本武藏,战士/刺客,0.497,0.038,0.011,T3,-0.6976744186046517,-0.0041558477537415395,平衡 (Balanced)
马超,战士,0.496,0.021,0.002,T4,-0.9302325581395358,-0.004425608445964406,平衡 (Balanced)
裴擒虎,刺客,0.497,0.038,0.004,T3,-0.6976744186046517,-0.00450584775374154,平衡 (Balanced)
项羽,坦克/战士,0.497,0.058,0.006,T2,-0.6976744186046517,-0.005450767836546189,平衡 (Balanced)
大司命,战士,0.493,0.012,0.001,T4,-1.6279069767441874,-0.005469201522549897,平衡 (Balanced)
后羿,射手,0.498,0.198,0.008,T1,-0.4651162790697679,-0.00566990597341455,平衡 (Balanced)
朵莉亚,辅助/法师,0.492,0.011,0.004,T4,-1.8604651162790715,-0.0057354987578350225,平衡 (Balanced)
弈星,法师,0.495,0.023,0.001,T4,-1.1627906976744196,-0.005919612342362178,平衡 (Balanced)
艾琳,射手,0.494,0.023,0.001,T4,-1.3953488372093035,-0.007113534810834614,平衡 (Balanced)
钟无艳,战士/坦克,0.495,0.032,0.001,T3,-1.1627906976744196,-0.0071254226264466205,平衡 (Balanced)
钟馗,辅助/坦克,0.493,0.082,0.165,T2,-1.6279069767441874,-0.007284424388384975,平衡 (Balanced)
关羽,战士/坦克,0.495,0.042,0.003,T3,-1.1627906976744196,-0.008093293127936914,平衡 (Balanced)
刘禅,辅助/坦克,0.495,0.056,0.01,T2,-1.1627906976744196,-0.008935348245161907,平衡 (Balanced)
虞姬,射手,0.496,0.133,0.013,T1,-0.9302325581395358,-0.009991038149063457,平衡 (Balanced)
不知火舞,刺客/法师,0.489,0.018,0.001,T4,-2.5581395348837233,-0.01127581358899275,平衡 (Balanced)
李白,刺客,0.495,0.112,0.021,T2,-1.1627906976744196,-0.011457179758696064,平衡 (Balanced)
韩信,刺客,0.495,0.138,0.033,T1,-1.1627906976744196,-0.011823135903850358,平衡 (Balanced)
廉颇,坦克,0.493,0.052,0.002,T3,-1.6279069767441874,-0.012671845044357333,平衡 (Balanced)
明世隐,辅助/法师,0.492,0.045,0.015,T3,-1.8604651162790715,-0.012887984737907414,平衡 (Balanced)
瑶,辅助/法师,0.493,0.218,0.177,T0,-1.6279069767441874,-0.013037323751722785,平衡 (Balanced)
米莱狄,法师,0.492,0.057,0.018,T2,-1.8604651162790715,-0.014316860211175378,平衡 (Balanced)
王昭君,法师,0.493,0.083,0.004,T2,-1.6279069767441874,-0.015410100801114487,平衡 (Balanced)
甄姬,法师,0.494,0.142,0.013,T1,-1.3953488372093035,-0.015677772567113397,平衡 (Balanced)
安琪拉,法师,0.494,0.22,0.038,T0,-1.3953488372093035,-0.016912965295574917,平衡 (Balanced)
铠,战士/坦克,0.493,0.21,0.076,T0,-1.6279069767441874,-0.01783729717350823,平衡 (Balanced)
公孙离,射手,0.486,0.027,0.008,T3,-3.2558139534883748,-0.01791665947510252,平衡 (Balanced)
程咬金,坦克,0.492,0.108,0.028,T2,-1.8604651162790715,-0.018344796251772974,平衡 (Balanced)
孙策,战士/坦克,0.492,0.114,0.012,T2,-1.8604651162790715,-0.01954157178088795,平衡 (Balanced)
镜,刺客,0.485,0.028,0.007,T3,-3.488372093023259,-0.019675016000985122,平衡 (Balanced)
张飞,辅助/坦克,0.492,0.147,0.014,T1,-1.8604651162790715,-0.02132928569883412,平衡 (Balanced)
夏侯惇,坦克/战士,0.491,0.102,0.007,T2,-2.0930232558139554,-0.021393224004709457,平衡 (Balanced)
李信,战士,0.486,0.082,0.007,T2,-3.2558139534883748,-0.03071884877676995,平衡 (Balanced)
小乔,法师,0.488,0.124,0.005,T1,-2.790697674418607,-0.030893056483482416,平衡 (Balanced)
孙尚香,射手,0.49,0.254,0.007,T0,-2.325581395348839,-0.03238364010152273,平衡 (Balanced)
百里守约,射手/刺客,0.486,0.121,0.042,T1,-3.2558139534883748,-0.03391657122289952,平衡 (Balanced)
鲁班七号,射手,0.487,0.218,0.012,T0,-3.023255813953491,-0.04004788696748517,下水道 (Underpowered)
亚瑟,战士/坦克,0.486,0.194,0.015,T1,-3.2558139534883748,-0.04146748861190243,下水道 (Underpowered)
妲己,法师,0.484,0.207,0.036,T1,-3.720930232558143,-0.04743699616874266,下水道 (Underpowered)
澜,刺客/战士,0.478,0.119,0.013,T1,-5.1162790697674465,-0.05560900085008783,下水道 (Underpowered)
马可波罗,射手,0.472,0.129,0.021,T1,-6.5116279069767495,-0.07264288752382615,下水道 (Underpowered)
吕布,战士/坦克,0.471,0.128,0.016,T1,-6.744186046511634,-0.07531538917273169,下水道 (Underpowered)
