Hero_Name,Occupation,Win_Rate,Pick_Rate,Ban_Rate,Tier
孙尚香,射手,0.49,0.254,0.007,T0
孙悟空,刺客,0.505,0.233,0.138,T0
瑶,辅助/法师,0.493,0.218,0.177,T0
安琪拉,法师,0.494,0.22,0.038,T0
鲁班七号,射手,0.487,0.218,0.012,T0
铠,战士/坦克,0.493,0.21,0.076,T0
妲己,法师,0.484,0.207,0.036,T1
后羿,射手,0.498,0.198,0.008,T1
亚瑟,战士/坦克,0.486,0.194,0.015,T1
李元芳,射手,0.511,0.147,0.019,T1
张飞,辅助/坦克,0.492,0.147,0.014,T1
甄姬,法师,0.494,0.142,0.013,T1
韩信,刺客,0.495,0.138,0.033,T1
虞姬,射手,0.496,0.133,0.013,T1
蔡文姬,辅助/法师,0.51,0.133,0.135,T1
马可波罗,射手,0.472,0.129,0.021,T1
吕布,战士/坦克,0.471,0.128,0.016,T1
小乔,法师,0.488,0.124,0.005,T1
典韦,战士,0.512,0.123,0.046,T1
百里守约,射手/刺客,0.486,0.121,0.042,T1
澜,刺客/战士,0.478,0.119,0.013,T1
狄仁杰,射手,0.505,0.115,0.004,T2
伽罗,射手,0.501,0.115,0.124,T2
孙策,战士/坦克,0.492,0.114,0.012,T2
李白,刺客,0.495,0.112,0.021,T2
程咬金,坦克,0.492,0.108,0.028,T2
赵云,战士/刺客,0.502,0.103,0.008,T2
夏侯惇,坦克/战士,0.491,0.102,0.007,T2
诸葛亮,法师,0.504,0.096,0.016,T2
庄周,辅助/坦克,0.501,0.089,0.083,T2
墨子,法师/战士,0.514,0.088,0.047,T2
黄忠,射手,0.508,0.086,0.052,T2
王昭君,法师,0.493,0.083,0.004,T2
李信,战士,0.486,0.082,0.007,T2
钟馗,辅助/坦克,0.493,0.082,0.165,T2
老夫子,战士,0.501,0.076,0.007,T2
大乔,辅助/法师,0.504,0.076,0.122,T2
项羽,坦克/战士,0.497,0.058,0.006,T2
狂铁,战士/坦克,0.498,0.057,0.003,T2
米莱狄,法师,0.492,0.057,0.018,T2
刘禅,辅助/坦克,0.495,0.056,0.01,T2
白起,坦克,0.511,0.054,0.005,T2
廉颇,坦克,0.493,0.052,0.002,T3
刘邦,坦克/法师,0.511,0.048,0.005,T3
东皇太一,辅助/法师,0.504,0.046,0.183,T3
元歌,刺客,0.505,0.046,0.005,T3
牛魔,辅助/坦克,0.506,0.045,0.003,T3
盘古,战士,0.503,0.045,0.008,T3
明世隐,辅助/法师,0.492,0.045,0.015,T3
关羽,战士/坦克,0.495,0.042,0.003,T3
嬴政,法师,0.515,0.04,0.016,T3
宫本武藏,战士/刺客,0.497,0.038,0.011,T3
裴擒虎,刺客,0.497,0.038,0.004,T3
杨戬,战士,0.504,0.037,0.002,T3
曹操,战士,0.507,0.036,0.001,T3
达摩,战士/坦克,0.501,0.035,0.001,T3
武则天,法师,0.522,0.034,0.002,T3
司马懿,刺客/法师,0.513,0.034,0.005,T3
花木兰,战士,0.5,0.034,0.001,T3
苏烈,辅助/坦克,0.507,0.033,0.002,T3
哪吒,战士/坦克,0.518,0.032,0.001,T3
橘右京,刺客/战士,0.503,0.032,0.001,T3
钟无艳,战士/坦克,0.495,0.032,0.001,T3
刘备,战士,0.516,0.031,0.002,T3
雅典娜,战士/刺客,0.535,0.029,0.001,T3
露娜,刺客/法师,0.504,0.029,0.003,T3
云缨,战士/刺客,0.499,0.028,0.003,T3
镜,刺客,0.485,0.028,0.007,T3
娜可露露,刺客,0.502,0.028,0.001,T3
阿古朵,射手,0.517,0.027,0.002,T3
百里玄策,刺客,0.509,0.027,0.001,T3
公孙离,射手,0.486,0.027,0.008,T3
猪八戒,坦克,0.501,0.026,0.001,T3
太乙真人,辅助/坦克,0.514,0.026,0.003,T3
鲁班大师,辅助/坦克,0.498,0.025,0.006,T4
蒙恬,坦克,0.502,0.025,0.001,T4
阿轲,刺客,0.501,0.025,0.001,T4
鬼谷子,辅助/法师,0.505,0.025,0.004,T4
上官婉儿,法师,0.509,0.024,0.002,T4
成吉思汗,射手,0.516,0.023,0.001,T4
艾琳,射手,0.494,0.023,0.001,T4
高渐离,法师,0.506,0.023,0.001,T4
弈星,法师,0.495,0.023,0.001,T4
西施,法师,0.498,0.022,0.001,T4
沈梦溪,法师,0.499,0.021,0.002,T4
蒙犽,射手,0.503,0.021,0.001,T4
马超,战士,0.496,0.021,0.002,T4
嫦娥,法师/战士,0.512,0.02,0.001,T4
周瑜,法师/战士,0.505,0.02,0.001,T4
杨玉环,法师,0.502,0.02,0.001,T4
云中君,刺客,0.511,0.019,0.001,T4
不知火舞,刺客/法师,0.489,0.018,0.001,T4
司空震,战士/法师,0.505,0.018,0.001,T4
暃,刺客,0.506,0.017,0.001,T4
金蝉,法师,0.501,0.017,0.005,T4
姬小满,战士,0.507,0.016,0.001,T4
亚连,战士/坦克,0.501,0.015,0.001,T4
海月,法师,0.502,0.014,0.006,T4
戈娅,射手,0.509,0.014,0,T4
莱西奥,射手,0.503,0.013,0,T4
赵怀真,战士,0.508,0.012,0,T4
大司命,战士,0.493,0.012,0.001,T4
海诺,法师/战士,0.496,0.011,0.001,T4
朵莉亚,辅助/法师,0.492,0.011,0.004,T4
少司缘,辅助/法师,0.504,0.009,0.009,T4
大禹,辅助/坦克,0.514,0.008,0.002,T4
空空儿,辅助/战士,0.509,0.006,0.003,T4
影,战士,0.51,0.005,0.001,T4
