Hero_Name,Appearance_Count,Win_Count,Total_Win_Rate
上官婉儿,1,1,1
不知火舞,316,166,0.525316456
东皇太一,13,9,0.692307692
云缨,2,1,0.5
亚连,76,44,0.578947368
伽罗,35,22,0.628571429
元歌,20,6,0.3
元流之子（坦克）,301,152,0.504983389
元流之子（射手）,80,45,0.5625
元流之子（辅助）,6,1,0.166666667
公孙离,489,238,0.486707566
兰陵王,10,7,0.7
关羽,289,150,0.519031142
典韦,46,16,0.347826087
刘禅,1,0,0
刘邦,9,3,0.333333333
司空震,286,142,0.496503497
后羿,91,44,0.483516484
吕布,102,52,0.509803922
哪吒,72,31,0.430555556
墨子,119,54,0.453781513
夏侯惇,297,146,0.491582492
夏洛特,441,283,0.641723356
大乔,171,82,0.479532164
大司命,390,200,0.512820513
太乙真人,386,203,0.525906736
女娲,308,164,0.532467532
妲己,3,1,0.333333333
姜子牙,69,34,0.492753623
姬小满,183,85,0.464480874
娜可露露,47,28,0.595744681
嫦娥,114,49,0.429824561
嬴政,128,62,0.484375
孙尚香,350,180,0.514285714
孙权,36,18,0.5
孙策,136,60,0.441176471
孙膑,24,11,0.458333333
安琪拉,145,64,0.44137931
宫本武藏,34,13,0.382352941
小乔,144,67,0.465277778
少司缘,369,180,0.487804878
干将莫邪,100,42,0.42
庄周,35,18,0.514285714
廉颇,94,46,0.489361702
弈星,85,34,0.4
张良,197,107,0.543147208
张飞,186,90,0.483870968
影,107,47,0.439252336
戈娅,393,200,0.508905852
扁鹊,5,2,0.4
敖隐,189,92,0.486772487
明世隐,83,41,0.493975904
暃,100,48,0.48
曜,17,10,0.588235294
曹操,370,191,0.516216216
朵莉亚,307,142,0.462540717
李元芳,7,3,0.428571429
杨戬,215,111,0.51627907
杨玉环,229,120,0.524017467
桑启,67,30,0.447761194
梦奇,214,88,0.411214953
橘右京,83,44,0.530120482
武则天,20,13,0.65
沈梦溪,483,241,0.498964803
海月,198,108,0.545454545
海诺,130,69,0.530769231
澜,23,14,0.608695652
牛魔,22,10,0.454545455
狂铁,442,234,0.529411765
狄仁杰,254,125,0.492125984
猪八戒,43,23,0.534883721
王昭君,185,98,0.52972973
甄姬,247,128,0.518218623
白起,29,13,0.448275862
百里守约,134,64,0.47761194
盘古,7,1,0.142857143
盾山,91,49,0.538461538
空空儿,264,147,0.556818182
老夫子,37,20,0.540540541
艾琳,134,75,0.559701493
芈月,11,6,0.545454545
花木兰,1,1,1
苍,401,203,0.506234414
苏烈,247,116,0.469635628
荆轲,93,44,0.47311828
莱西奥,2,1,0.5
蒙恬,132,69,0.522727273
蒙犽,1,0,0
蔡文姬,42,25,0.595238095
虞姬,152,68,0.447368421
蚩奼,98,44,0.448979592
裴擒虎,286,154,0.538461538
西施,123,58,0.471544715
诸葛亮,3,0,0
貂蝉,4,1,0.25
赵怀真,5,1,0.2
达摩,129,59,0.457364341
金蝉,26,10,0.384615385
钟馗,5,4,0.8
铠,309,156,0.504854369
镜,244,134,0.549180328
阿古朵,352,172,0.488636364
露娜,15,7,0.466666667
韩信,1,0,0
马可波罗,31,10,0.322580645
马超,240,120,0.5
高渐离,3,1,0.333333333
鬼谷子,7,5,0.714285714
鲁班七号,222,113,0.509009009
鲁班大师,301,149,0.495016611
黄忠,5,1,0.2
